svmrbf-r6d300,svmrbf-ckd,svmrbf-r8d300,xgb-ckd,svmrbf-r9d300,xgb-fp4c,svmrbf-r7d300,svmrbf-ckdext,label
0.035218453,0.261012584,0.026972216,0.09254444,0.028133033,0.010561168,0.032220767,0.226668784,1
0.383254911,0.222807779,0.408655767,0.59096396,0.411298182,0.27265978,0.3976627,0.233933902,1
0.02177054,0.005211044,0.014797215,3.93E-06,0.015110307,0.000180066,0.017630127,0.025085063,1
0.241902764,0.112274754,0.237430011,0.08282274,0.238903561,0.10825354,0.224279237,0.237742572,1
0.370974092,0.049826048,0.347975252,0.24574739,0.351864806,0.003549457,0.358439881,0.053714855,1
0.065157106,0.260051077,0.09714862,0.043627977,0.09658341,0.01271826,0.079525653,0.117718405,1
0.092204856,0.106573684,0.115077166,0.002728164,0.114966838,0.0951764,0.124623384,0.140023075,1
0.014104741,0.099296601,0.021383229,0.002542555,0.021727798,0.023982346,0.020632996,0.126718005,1
0.874970756,0.905947531,0.904985373,0.98965156,0.903928955,0.8053355,0.859999009,0.827072248,1
0.349037741,0.173524236,0.518001701,0.4017406,0.503992816,0.2497155,0.322863529,0.188313928,1
0.142376873,0.444936122,0.162592389,0.41686118,0.165257496,0.84624267,0.133825933,0.206166496,1
0.040714525,0.013037161,0.04366301,0.000314593,0.043600413,0.001188636,0.053397306,0.032826004,1
0.786872425,0.6039697,0.825005108,0.27837342,0.827855893,0.9653414,0.798023831,0.698698693,1
0.230744828,0.060221312,0.221011759,0.0914765,0.223013948,0.16745514,0.199260297,0.061821786,1
0.007416228,0.002548511,0.008758477,3.18E-05,0.009198892,0.000131845,0.008749136,0.006118535,1
0.075906854,0.065321244,0.069685651,0.073746145,0.070002848,0.03193134,0.077556203,0.065194907,1
0.051511604,0.060578969,0.039852214,0.023549497,0.039951737,0.022989511,0.057229635,0.069443805,1
0.000727913,0.037432616,0.000564868,0.000108957,0.000619061,9.78E-06,0.00062782,0.012516722,1
0.109538927,0.067795168,0.171952804,0.004089952,0.166306827,0.003898382,0.179573184,0.061657637,1
