name,cls
CC1=CC(=CC=C1)OP(=O)(NCC2=CC=CC=C2)OC3=CC=CC(=C3)C,1
CCSC1=NC2=CC=CC=C2N1C(=O)/C=C/C3=CC(=C(C=C3)OC)OC,1
CC1=C(C2=C(N=CN=C2S1)NC3=CC=C(C=C3)N4CCOCC4)C5=CC=CC=C5,1
CC(=O)NC1=CC=C(C=C1)C(=O)/C=C/C2=C(C=CC(=C2)Br)OC,1
C1=CC=C2C(=C1)C(=CN2CC3=CC=C(C=C3)Cl)/C=C/[N+](=O)[O-],1
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)OC(F)F)Cl)[N+](=O)[O-],1
COC1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)C3=C(C(=C(C(=C3F)F)F)F)F,1
CCCCN1C2=CC=CC=C2N=C1NC(=S)NC3=CC=CC=C3,1
CC1=CC=C(C=C1)N(C(=O)CCl)NC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O,1
C1=CC(=C(C#N)C#N)N(C=C1)/C(=C\C2=CC=CO2)/C(=O)C3=CC=C(C=C3)Br,1
C1=CC(=C(C#N)C#N)N(C=C1)/C(=C\C2=CC=CO2)/C(=O)C3=CC=C(C=C3)Cl,1
C1=CC=C(C=C1)C(=O)/C(=C/C2=CC=CO2)/N3C=CC=CC3=C(C#N)C#N,1
C1=CC=C(C(=C1)NC(=S)NC(C(Cl)(Cl)Cl)NC(=O)C2=CC(=CC=C2)Cl)Cl,1
CC(=O)O[C@@H]1C[C@@H]2[C@](C=CC(=O)C2(C)C)([C@@H]3[C@@]1([C@]45[C@H](O4)C(=O)O[C@H]([C@@]5(CC3)C)C6=COC=C6)C)C,1
CC(=O)OCCNC1=C(C2=NON=C2C(=C1)SC3=NC4=CC=CC=C4N3)[N+](=O)[O-],1
C1=CC=C2C=C(C(=CC2=C1)C(=O)NN)O,1
C[C@]12[C@H](CCC([C@H]1C[C@H]([C@]34[C@H]2C[C@@H]([C@H]([C@H]3O)C(=C)C4=O)O)O)(C)C)O,1
C1=CC(=CC=C1SC2=CC(=C(C3=NON=C23)[N+](=O)[O-])NCCCO)Cl,1
C[C@]12[C@@H]3CC[C@@H]4[C@H]([C@@]3([C@@H](C[C@@H]1C(CC[C@@H]2O)(C)C)O)C(=O)C4=C)O,1
